"Carimbo de data/hora","Você trabalha (ou pretende trabalhar) na área de tecnologia?","Você está em busca da sua primeira oportunidade na sua área de atuação?","Quanto tempo demorou para encontrar um emprego na área?","Há quanto tempo você está buscando um emprego?","Você já vivenciou alguma(s) dessas situações?","Se sim, qual delas foi a mais recorrente?",""
"2021/02/06 9:55:18 AM GMT-3","Sim","Não","Mais de um ano","","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","Os feedbacks recebidos não me ajudaram",""
"2021/02/06 9:55:32 AM GMT-3","Sim","Não","0 a 6 meses","","A cultura da empresa não tinha a ver comigo","A cultura da empresa não tinha a ver comigo",""
"2021/02/06 9:58:30 AM GMT-3","Sim","Não","6 meses a 1 ano","","Não vivi nenhuma dessas situações","",""
"2021/02/06 10:35:53 AM GMT-3","Sim","Sim","","6 meses a 1 ano","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Os requisitos nas vagas eram muito genéricos","Os feedbacks recebidos não me ajudaram",""
"2021/02/06 11:05:52 AM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Os requisitos nas vagas eram muito genéricos","Não recebi feedback",""
"2021/02/06 11:09:51 AM GMT-3","Sim","Não","0 a 6 meses","","Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Os requisitos nas vagas eram muito genéricos",""
"2021/02/06 11:10:11 AM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback","Não recebi feedback",""
"2021/02/06 11:22:20 AM GMT-3","Sim","Sim","","0 a 6 meses","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Eu não tinha as qualificações exigidas",""
"2021/02/06 11:22:40 AM GMT-3","Sim","Sim","","0 a 6 meses","Não recebi feedback","Não recebi feedback",""
"2021/02/06 12:12:42 PM GMT-3","Sim","Não","0 a 6 meses","","Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","Os requisitos nas vagas eram muito genéricos",""
"2021/02/06 12:13:04 PM GMT-3","Sim","Não","0 a 6 meses","","Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","A cultura da empresa não tinha a ver comigo",""
"2021/02/06 12:13:32 PM GMT-3","Sim","Não","Mais de um ano","","Não vivi nenhuma dessas situações","",""
"2021/02/06 12:13:57 PM GMT-3","Sim","Sim","","0 a 6 meses","Não vivi nenhuma dessas situações","Não recebi feedback",""
"2021/02/06 12:17:04 PM GMT-3","Sim","Não","0 a 6 meses","","Os feedbacks recebidos não me ajudaram","Os feedbacks recebidos não me ajudaram",""
"2021/02/06 12:24:52 PM GMT-3","Sim","Não","0 a 6 meses","","Não vivi nenhuma dessas situações","",""
"2021/02/06 12:31:35 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Eu não tinha as qualificações exigidas","Pedir qualificação em 2 áreas opostas. ",""
"2021/02/06 12:35:33 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Não recebi feedback",""
"2021/02/06 12:37:25 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;A cultura da empresa não tinha a ver comigo","Não recebi feedback",""
"2021/02/06 1:16:40 PM GMT-3","Sim","Não","6 meses a 1 ano","","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","Os feedbacks recebidos não me ajudaram",""
"2021/02/06 1:37:45 PM GMT-3","Sim","Não","Mais de um ano","","Não recebi feedback;Os feedbacks recebidos não me ajudaram","Não recebi feedback",""
"2021/02/06 4:52:06 PM GMT-3","Sim","Sim","","0 a 6 meses","Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos","Os requisitos nas vagas eram muito genéricos",""
"2021/02/06 5:24:06 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Os feedbacks recebidos não me ajudaram;Eu não tinha as qualificações exigidas;Os requisitos nas vagas eram muito genéricos;A cultura da empresa não tinha a ver comigo","Os feedbacks recebidos não me ajudaram",""
"2021/02/06 5:24:30 PM GMT-3","Sim","Não","0 a 6 meses","","Não recebi feedback;Os requisitos nas vagas eram muito genéricos","Não recebi feedback",""
